business,t_u,se_t_u,ci_t_u_low,ci_t_u_high
-99,299848219097.71216,2704656061.5902996,294547093216.9952,305149344978.42914
1,799332685523.5447,8038935728.742789,783576371495.2089,815088999551.8805
2,124689894932.1644,2808797873.9871335,119184651099.14961,130195138765.17918
3,128473105207.05685,2369189869.2823925,123829493063.26337,133116717350.85034
4,34139038842.721226,1324786495.8516078,31542457310.852074,36735620374.59038
5,24982539820.53092,853992918.3761886,23308713700.513588,26656365940.54825
6,208559268791.76578,2488568488.8561025,203681674553.60782,213436863029.92374
7,75618037872.61362,2119955549.3991451,71462924995.79129,79773150749.43594
8,100793333937.19536,2264883331.4132285,96354162607.62543,105232505266.76529
9,101309491422.55779,2280523964.489039,96839664452.15927,105779318392.9563
10,6146160808.285037,329448954.0656725,5500440858.3163185,6791880758.253756
11,69558910145.72093,1614731523.9804854,66394036358.71918,72723783932.72269
12,2823188821.6095333,240787075.42291266,2351246153.7806244,3295131489.438442
13,27606838177.735027,1269404024.3291626,25118806290.04987,30094870065.420185
14,30092209865.481606,895010061.4258691,28337990145.086903,31846429585.87631
